city_name,index_value
梅州市,1182.2
鄂州市,1045.3
吕梁市,867.6
舟山市,1890.4
朝阳市,1085.1
广安市,871.2
濮阳市,1246.3
宣城市,1298.8
六盘水市,2294.1
深圳市,5743.6
三明市,755.6
景德镇市,3034.9
楚雄彝族自治州,275.6
大连市,5269.8
攀枝花市,1530.0
贺州市,951.5
西安市,7797.1
淮北市,924.4
邵阳市,1063.8
石家庄市,3658.9
汕尾市,964.6
荆门市,831.2
衢州市,2866.3
迪庆藏族自治州,451.4
宜宾市,1711.4
葫芦岛市,1207.6
济南市,4245.4
贵阳市,3891.8
珠海市,2200.0
长春市,3121.5
延边朝鲜族自治州,559.9
萍乡市,968.0
庆阳市,889.4
泉州市,2729.9
自贡市,1083.6
临沂市,2727.1
百色市,866.4
鞍山市,1054.5
铜陵市,1122.2
唐山市,1424.9
岳阳市,1199.7
河源市,894.6
孝感市,967.4
金华市,1220.0
兴安盟,737.7
盘锦市,978.2
雅安市,852.9
亳州市,1420.6
商洛市,624.5
盐城市,1909.0
汕头市,1654.0
安顺市,951.4
黔南布依族苗族自治州,378.9
厦门市,4670.3
太子山天然林保护区,0.0
阿克苏地区,319.8
红河哈尼族彝族自治州,576.6
甘南藏族自治州,369.8
太原市,1980.1
常德市,1237.3
牡丹江市,1009.6
淮南市,1292.5
德阳市,1091.5
威海市,2282.7
秦皇岛市,2555.1
绍兴市,1842.5
阳江市,1126.2
铁岭市,641.5
达州市,1126.2
池州市,1131.9
淮安市,2016.4
遵义市,1221.8
黔东南苗族侗族自治州,337.8
莆田市,1169.9
南昌市,3659.9
佛山市,1585.4
大同市,1602.9
昆明市,2515.5
张家界市,4082.5
泸州市,1326.2
沈阳市,4144.1
邯郸市,2366.0
马鞍山市,1375.8
日照市,1473.3
三亚市,1739.2
台湾省,0.0
十堰市,1175.0
呼和浩特市,2354.2
德宏傣族景颇族自治州,231.4
梧州市,950.9
枣庄市,1170.0
安阳市,1325.7
怀化市,1154.3
阳泉市,757.5
保亭黎族苗族自治县,0.0
中农发山丹马场,0.0
鹰潭市,748.7
陵水黎族自治县,0.0
博尔塔拉蒙古自治州,417.7
乐东黎族自治县,0.0
辽源市,489.4
齐齐哈尔市,1929.7
龙岩市,854.1
天门市,664.0
潜江市,706.1
邢台市,1156.2
仙桃市,664.5
绥化市,907.7
丹东市,1353.1
滨州市,1202.2
镇江市,1759.8
昌江黎族自治县,0.0
周口市,1069.8
白沙黎族自治县,0.0
临高县,0.0
吐鲁番市,918.8
澄迈县,0.0
长沙市,3092.3
屯昌县,0.0
定安县,0.0
海口市,1256.5
乐山市,1034.8
凉山彝族自治州,904.7
桂林市,2124.8
东营市,1184.8
鹤壁市,1035.4
娄底市,808.2
包头市,1118.1
锡林郭勒盟,645.2
琼中黎族苗族自治县,0.0
长治市,1106.7
赣州市,2061.2
莲花山风景林自然保护区,0.0
通化市,778.0
巴音郭楞蒙古自治州,617.1
上海市,10413.1
鸡西市,722.3
宁德市,1201.8
保定市,1335.3
菏泽市,1181.3
崇左市,1042.9
黑河市,864.2
扬州市,2598.2
驻马店市,1212.9
哈密市,648.5
株洲市,1241.5
锦州市,1311.3
肇庆市,1463.2
