city_name,index_value
鄂城区,1636
龙里县,1313
华容区,1278
梁子湖区,1758
光明区,357
高陵区,23
三都水族自治县,1786
坪山区,522
鄠邑区,1782
惠水县,1861
临潼区,1124
长安区,802
雁塔区,1204
阎良区,1247
河口瑶族自治县,1930
绿春县,762
金平苗族瑶族傣族自治县,1683
隆安县,442
上林县,1632
马山县,769
前锋区,1016
龙城区,1349
双塔区,516
华龙区,1040
广安区,792
灞桥区,336
未央区,1783
宾阳县,258
宣州区,497
北塔区,896
恩平市,160
鹤山市,1499
开平市,852
汪清县,1688
莲湖区,1932
台山市,690
新城区,1699
碑林区,380
龙华区,1569
安图县,1953
盐田区,957
龙岗区,691
宝安区,1451
南山区,1637
福田区,1292
罗湖区,1859
大祥区,1601
双清区,1441
迁西县,1192
滦南县,1866
乐亭县,1067
玉田县,1580
邹平市,285
沅江市,397
华阴市,12
韩城市,1631
龙川县,1326
紫金县,1922
东源县,1277
香格里拉市,499
和平县,754
连平县,35
岳池县,727
武胜县,849
邻水县,90
永吉县,776
南明区,605
云岩区,1946
图们市,970
敦化市,1626
周至县,1022
延吉市,418
和龙市,115
凭祥市,617
珲春市,1927
龙井市,1220
江油市,826
田阳区,1525
古冶区,1650
右江区,1517
开平区,1099
宣威市,413
自流井区,1400
路南区,1444
路北区,729
大安区,1301
丰润区,1021
贡井区,761
清原满族自治县,676
曹妃甸区,1418
新宾满族自治县,1893
抚顺县,457
丰南区,920
蓝田县,192
涿州市,739
高碑店市,1713
黔西市,1123
定州市,1572
安国市,978
红谷滩区,1009
金东区,96
青山湖区,1688
新建区,663
源城区,1214
婺城区,1760
大丰区,37
曲水县,1804
商州区,1393
亭湖区,1719
盐都区,1549
墨竹工卡县,279
林周县,217
当雄县,867
尼木县,873
磐石市,1822
大方县,1297
都匀市,1905
金沙县,62
进贤县,596
织金县,1904
仙游县,729
纳雍县,1366
福泉市,397
弥勒市,699
富源县,1043
威宁彝族回族苗族自治县,177
安义县,1636
蒙自市,396
会泽县,445
赫章县,1257
合作市,1939
开远市,76
师宗县,265
南昌县,455
个旧市,1820
罗平县,718
陆良县,735
德保县,1408
凌云县,1588
那坡县,851
盐亭县,1530
当涂县,1391
田东县,144
三台县,885
平武县,1093
梓潼县,1123
含山县,396
北川羌族自治县,1049
和县,948
田林县,891
蛟河市,1493
乐业县,1508
舒兰市,1589
桦甸市,1175
柞水县,1168
横州市,569
浦江县,1063
磐安县,109
西林县,1717
高阳县,1066
容城县,1210
武义县,935
沁县,398
沁源县,1247
建平县,634
易县,1157
朝阳县,1187
曲阳县,1239
望都县,733
安新县,235
博野县,1867
隆林各族自治县,658
雄县,751
喀喇沁左翼蒙古族自治县,588
蠡县,1033
顺平县,1098
武乡县,954
泾县,492
镇安县,913
山阳县,1277
射阳县,1254
郎溪县,1543
商南县,1198
建湖县,1677
丹凤县,1192
滨海县,170
洛南县,1417
阜宁县,946
涞源县,795
旌德县,634
响水县,1218
绩溪县,1541
邵武市,29
青云谱区,1189
贵定县,1446
武夷山市,339
红河县,1672
荔波县,1520
建瓯市,1389
东湖区,1857
元阳县,1366
瓮安县,500
西湖区,1681
泸西县,511
平塘县,1351
城厢区,217
石屏县,1325
独山县,1156
涵江区,1828
建水县,1094
长顺县,1276
荔城区,1439
屏边苗族自治县,1811
罗甸县,445
秀屿区,876
南县,1206
安化县,167
桃江县,91
花山区,714
博望区,1882
雨山区,1555
南沙区,39
西沙区,1150
清苑区,1475
徐水区,173
莲池区,653
满城区,754
郧阳区,1244
张湾区,1662
茅箭区,1082
华蓥市,1684
土默特右旗,476
合浦县,456
殷都区,829
龙安区,895
北关区,1385
望城区,1959
文峰区,1025
雨花区,387
固阳县,1997
达尔罕茂明安联合旗,348
襄垣县,190
平顺县,505
黎城县,1215
壶关县,1532
武冈市,1393
长子县,1433
轮台县,824
尉犁县,929
若羌县,934
且末县,1141
焉耆回族自治县,134
和静县,58
和硕县,1580
博湖县,685
滨城区,672
涞水县,173
沾化区,1853
定兴县,815
唐县,1173
阜平县,80
邵东市,886
天心区,1237
芙蓉区,203
开福区,764
岳麓区,1253
德庆县,1700
封开县,1251
怀集县,1683
广宁县,1556
会理市,1465
西昌市,1426
白云鄂博矿区,47
九原区,1257
青山区,1329
石拐区,1550
东河区,1167
铜鼓县,1439
昆都仑区,1537
宜丰县,1397
靖安县,1590
潞州区,1910
上党区,1283
抚松县,656
屯留区,471
潞城区,1977
玛曲县,971
长白朝鲜族自治县,1036
绥滨县,1354
库尔勒市,736
碌曲县,784
靖宇县,968
萝北县,358
舟曲县,972
迭部县,1432
临潭县,668
昌乐县,373
卓尼县,1032
永济市,1146
河津市,1372
夏河县,676
竞秀区,90
清镇市,1672
江州区,698
江北区,1340
高要区,1202
花溪区,540
大渡口区,732
鼎湖区,869
乌当区,41
渝中区,740
端州区,1728
白云区,1947
涪陵区,502
北碚区,959
观山湖区,1169
南岸区,1225
丰满区,929
九龙坡区,1748
沙坪坝区,461
维西傈僳族自治县,732
德钦县,752
沿滩区,925
桓台县,909
高青县,1582
沂源县,1571
顺城区,1277
崆峒区,390
万州区,1618
临江市,883
息烽县,256
修文县,709
兴义市,1839
兴仁市,1945
龙潭区,450
昌邑区,10
分宜县,824
船营区,798
顺昌县,1266
浦城县,1275
光泽县,877
松溪县,1029
政和县,1143
扶绥县,1016
富顺县,1825
大石桥市,374
荣县,1089
盖州市,146
龙州县,224
